key,freq,ref_area,adjustment,icp_item,sts_institution,icp_suffix,time_period,obs_value,obs_status,obs_conf,obs_pre_break,obs_com,time_format,breaks,collection,compiling_org,data_comp,diss_org,dom_ser_ids,publ_ecb,publ_mu,publ_public,unit_index_base,compilation,coverage,decimals,source_agency,title,title_compl,unit,unit_mult
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-04,82.88,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-05,83.14,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-06,83.18,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-07,83.0,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-08,83.17,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-09,83.26,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-10,83.59,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-11,83.53,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-12,83.85,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-01,83.32,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-02,83.62,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-03,84.25,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-04,84.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-05,84.78,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-06,84.87,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-07,84.78,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-08,84.98,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-09,85.42,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2005-10,85.64,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
