date,hicp_index_q,infl_q_ann,gdp_q_ann,policy_rate,gg_deficit_pct_gdp,gg_debt_pct_gdp,yc_spot_1y,yc_spot_5y,yc_spot_10y,level,slope_10y_1y,curvature_ns_like,gdp_q_ann_original
2017-09-30,101.93333333333334,-0.4314219364831886,2.9691066080110704,0.0,-1.139,89.114,-0.724456099260458,-0.2615461488680943,0.4932816951300783,-0.16424018433282464,1.2177377943905363,-0.29191789360580894,2.9691066080110704
2017-12-31,102.32333333333334,1.527491779052304,3.243631698011444,0.0,-1.004,87.491,-0.7822414624914381,-0.2913024294376525,0.4464118749851442,-0.2090440056479821,1.2286533374765822,-0.24677527136901106,3.243631698011444
2018-03-31,102.08333333333331,-0.939304433462434,0.1386162291823035,0.0,-0.805,87.49,-0.6718393120769638,-0.019243418698321,0.6698871331841512,-0.007065199197044551,1.341726445261115,-0.03653465850382942,0.1386162291823035
2018-06-30,103.79333333333334,6.64490776103672,2.0305745031334856,0.0,-0.464,87.028,-0.6776723703319517,-0.115576042089677,0.5516361967897473,-0.08053740521062713,1.229308567121699,-0.10511591063714959,2.0305745031334856
2018-09-30,104.09333333333332,1.1544759962246298,0.3637863600712028,0.0,-0.348,86.851,-0.6653850299202058,-0.1983522512203968,0.4158599294690247,-0.14929245055719262,1.0812449593892306,-0.14717940198961255,0.3637863600712028
2018-12-31,104.27666666666666,0.7038762994333407,2.1583098408022283,0.0,-0.447,85.561,-0.7039966995708068,-0.1680159523637419,0.4339236532532498,-0.14602966622709965,1.1379203528240565,-0.06595885840992677,2.1583098408022283
2019-03-31,103.54,-2.835844743523336,2.8040176240579218,0.0,-0.494,86.033,-0.5956010811279476,-0.3325034821826981,0.1781419732011984,-0.24998753003648244,0.773743054329146,-0.24754785643864696,2.8040176240579218
2019-06-30,105.25,6.552184435494186,1.4379445437264258,0.0,-0.59,85.81,-0.62165374021382,-0.4944233318758843,-0.0573122977632571,-0.39112978995098713,0.564341442450563,-0.30988062577469144,1.4379445437264258
2019-09-30,105.08666666666666,-0.6212264128817125,0.8696923278586075,0.0,-0.698,85.349,-0.7715982914566095,-0.7675231968181766,-0.466735653519313,-0.6686190472646997,0.3048626379372965,-0.29671244866043067,0.8696923278586075
2019-12-31,105.32333333333334,0.8998308691521959,-0.4582275988146074,0.0,-0.537,83.607,-0.6702383127938005,-0.5931620027374239,-0.3076502738200146,-0.5236835297837464,0.36258803897378594,-0.20843541886103273,-0.4582275988146074
2020-03-31,104.68666666666668,-2.425288765787645,-13.45018774412648,0.0,-1.131,85.683,-0.6779279697819203,-0.6207828196462892,-0.3628481218254653,-0.5538529704178916,0.315079847956455,-0.20078954768519292,-13.45018774412648
2020-06-30,105.48333333333332,3.0324803058026872,-15.0,0.0,-3.83,94.106,-0.6174826982521057,-0.6242038774855234,-0.3644292762441857,-0.535371950660605,0.25305342200791997,-0.2664957804747555,-46.897963453365065
2020-09-30,105.05333333333331,-1.633921937530833,15.0,0.0,-5.195,96.254,-0.6372423091255274,-0.6793195221526288,-0.4460231716586227,-0.5875283343122596,0.19121913746690467,-0.27537356352110753,43.838500086737966
2020-12-31,105.03333333333336,-0.0761590457033189,1.2730430982325331,0.0,-6.992,96.526,-0.7270324244760122,-0.757375751168919,-0.5516051181166446,-0.6786710979205252,0.17542730635936765,-0.23611395974518112,1.2730430982325331
2021-03-31,105.79666666666668,2.8965011386472974,3.135997707005922,0.0,-8.02,98.839,-0.6817923451480228,-0.6689315394799106,-0.4000978303998937,-0.5836072383426091,0.28169451474812907,-0.25597290341190465,3.135997707005922
2021-06-30,107.42,6.090948614230234,8.546978087631766,0.0,-6.712,96.903,-0.6869436935186485,-0.5692018243046645,-0.1898333220931452,-0.48199294663881936,0.4971103714255033,-0.2616266329975353,8.546978087631766
2021-09-30,108.02333333333333,2.240347477726216,7.101080127967788,0.0,-6.041,95.995,-0.7270800543433031,-0.6768628733777469,-0.3656064421654828,-0.5898497899621776,0.3614736121778203,-0.26103925024670777,7.101080127967788
2021-12-31,109.89333333333332,6.865178076329372,3.136634804840928,0.0,-5.103,93.874,-0.7711943532035069,-0.5411333753601082,-0.2252755895623563,-0.5125344393753238,0.5459187636411507,-0.08579680795435315,3.136634804840928
2022-03-31,112.3,8.665465352778098,2.8678038831685626,0.0,-4.069,93.537,-0.6440142765325547,-0.1044591987415694,0.1841407501114145,-0.18811090838756986,0.8281550266439692,0.2509551289380014,2.8678038831685626
2022-06-30,116.06333333333332,13.1848629528964,3.715908422699279,0.0,-3.051,92.387,-0.0914750592828484,0.9246153094168976,1.169556362145514,0.6675655374265211,1.2610314214283624,0.7711493159711296,3.715908422699279
2022-09-30,118.08333333333331,6.901828310416645,1.8494647252957048,1.25,-3.049,90.919,0.5990098632581939,1.1223440613691698,1.4193953526711045,1.046916425766156,0.8203854894129106,0.22628290680904106,1.8494647252957048
2022-12-31,120.83333333333331,9.20863828957584,-0.1768660383637907,2.5,-3.464,89.548,2.0034943889010672,2.04365153310452,2.2112011038890684,2.0861156752982186,0.2077067149880012,-0.12739242658109529,-0.1768660383637907
2023-03-31,121.28333333333336,1.4868881993464642,-0.2334122105648585,3.5,-3.584,89.279,2.7882159535012936,2.3876710767272646,2.397850704514189,2.5245792449142495,-0.3903652489871048,-0.4107245045609531,-0.2334122105648585
2023-06-30,123.24666666666668,6.423344452481556,0.8059510211892902,4.0,-3.841,88.772,3.0694670557019275,2.407891812746207,2.467521580341214,2.6482934829297826,-0.6019454753607136,-0.7212050105507273,0.8059510211892902
2023-09-30,123.94,2.243924111108613,-0.1671563961528213,4.5,-3.745,88.341,3.44153993286,2.620453584218461,2.655055217612308,2.9056829115635896,-0.7864847152476919,-0.855687982035386,-0.1671563961528213
2023-12-31,124.14666666666666,0.6664339273031756,0.1980088285407564,4.5,-3.529,87.329,3.335521123680645,2.4867324044451613,2.609480043682258,2.8105778572693545,-0.726041079998387,-0.97153635847258,0.1980088285407564
2024-03-31,124.42666666666666,0.9011429011162928,1.1126311546114769,4.5,-3.517,87.785,3.225657466766666,2.2512940617142854,2.3761142375682542,2.6176885886830683,-0.849543229198412,-1.0991835809063497,1.1126311546114769
2024-06-30,126.31,6.009073272349511,0.8027624294991662,4.25,-3.443,88.04,3.258066867679365,2.487573127722222,2.5575987755809524,2.76774625699418,-0.7004680920984128,-0.8405193878158737,0.8027624294991662
2024-09-30,126.62,0.9805089320386504,1.622356198734903,3.65,-3.241,88.047,2.834862513457576,2.1809411432424244,2.377072424483333,2.464292027061111,-0.4577900889742428,-0.85005265145606,1.622356198734903
2024-12-31,126.90666666666668,0.9045732115059328,1.5970912151082977,3.15,-3.064,87.361,2.326711740726984,2.0583742135047616,2.3547174680476197,2.2466011407597883,0.028005727320635554,-0.5646807817650807,1.5970912151082977
2025-03-31,127.34,1.3635065776534858,2.23662785623328,2.65,-3.026,88.029,2.188781270779365,2.28241524328254,2.6506591565126985,2.3739518901915346,0.46187788573333366,-0.27460994072698286,2.23662785623328
